project_id,媒体,発信アカウント,投稿IDまたは投稿URL,公開日時,活動の種類,内容の要約,形式：文章／画像／操作デモ／動画／記事など,使用言語,訴求している価値,読者に求める行動,誘導先URL,UTMなど追跡情報の有無,状態：公開済み／予約済み／下書き／公開失敗,取得できた反応数値,数値の取得日時,根拠
forifor-genie,GitHub,FORIFOR,https://github.com/FORIFOR/genie/releases/tag/v0.1.0,2026-08-31 22:18 JST,Release公開,Astra 0.1.0の配布,Release／配布物,英語中心,Mac developer preview,ダウンロード,https://github.com/FORIFOR/genie/releases,なし,公開済み,v0.1.0 asset download countsは今回未取得,2026-09-15 00:00 JST,GitHub release list API
forifor-genie,GitHub,FORIFOR,https://github.com/FORIFOR/genie/releases/tag/v0.1.1,2026-09-03 12:45 JST,Release公開,Astra 0.1.1（GitHubでlatest stable表示）,Release／配布物,英語中心,Mac developer preview,ダウンロード,https://github.com/FORIFOR/genie/releases,なし,公開済み,asset countsは一部取得（Astra-guide-ja.pdf=5等）,2026-09-15 00:00 JST,GitHub release list/view API。現行正式名称Genieとの表示不一致を確認。
forifor-genie,GitHub,FORIFOR,https://github.com/FORIFOR/genie/releases/tag/v0.1.2,2026-09-12 02:32 JST,Release公開（pre-release）,Astra 0.1.2 developer preview,Release／配布物,英語中心,Mac preview,ダウンロード,https://github.com/FORIFOR/genie/releases,なし,公開済み,asset counts未取得,2026-09-15 00:00 JST,GitHub release list API
forifor-genie,GitHub,FORIFOR,https://github.com/FORIFOR/genie/releases/tag/v0.1.3,2026-09-13 21:28 JST,Release公開（pre-release）,Genie 0.1.3 unified name preview,Release／配布物,英語中心,Genieへの名称統一,ダウンロード,https://github.com/FORIFOR/genie/releases,なし,公開済み,asset counts未取得,2026-09-15 00:00 JST,GitHub release list API
forifor-genie,GitHub,FORIFOR,https://github.com/FORIFOR/genie/releases/tag/v0.1.4,2026-09-13 22:54 JST,Release公開（pre-release）,Genie 0.1.4 liquid voice orb preview,Release／DMG・ZIP・PDF,英語,Mac developer preview,DMG/ZIPを取得、試す,https://github.com/FORIFOR/genie/releases/download/v0.1.4/Genie-0.1.4.dmg,なし,公開済み,DMG 1、ZIP 2、guide PDF 1、SHA256SUMS 1（asset downloadCount）,2026-09-15 00:00 JST,GitHub release view API。本文の署名・notarizationは資料記載のみ。
forifor-genie,GitHub,FORIFOR,https://github.com/FORIFOR/genie/issues/1,2026-09-09 15:46 JST,公開Issue／運用記録,Release readinessと残件を公開,文章／Issue,日本語・英語,検証状況の透明性,進捗確認・コメント,https://github.com/FORIFOR/genie/issues/1,なし,公開済み,コメント5（全てFORIFOR）、reactionなし,2026-09-15 00:00 JST,gh issue view API。外部コメントは確認できなかった。
forifor-genie,GitHub,FORIFOR,https://github.com/FORIFOR/genie/issues/7,2026-09-13 00:43 JST,テスター募集Issue,一つの仕事を試し、つまずきを報告してもらう,文章／Issueフォーム,日本語・英語,初回試用の参加障壁を下げる,テスト・結果報告,https://github.com/FORIFOR/genie/issues/new?template=tester_feedback.yml,なし,公開済み,コメント0、reactionなし,2026-09-15 00:00 JST,gh issue view/list API。コメント0は応募者数0を意味しない。
forifor-genie,Zenn,forifori,https://zenn.dev/forifori/articles/genie-mac-workspace,2026-09-14 09:53 JST,記事公開,LLMを組み込んだMacアプリの実装・修正・検証,記事／コード／動画埋め込み,日本語,依頼から成果物保存までの実装知見,記事を読む、GitHub・動画・ORBITを見る,https://github.com/FORIFOR/genie,なし,公開済み,いいね1、コメント0、PV未取得,2026-09-14 23:58 JST,公開HTMLのarticle情報。
forifor-genie,YouTube,フォリフォリ,https://www.youtube.com/shorts/x74kQKDzHsU,2026-09-12 04:28 JST,Shorts公開,Web見出しをAIと改善しMarkdown保存,操作デモ動画,日本語,具体的な成果物を作る流れ,動画視聴・説明欄のGitHub/サイトへ,https://github.com/FORIFOR/astra（説明欄の現状）,なし,公開済み,12 views、0 likes、comments取得不可,2026-09-14 23:58 JST,YouTube公開HTML videoDetails。旧Astra URLを確認。
forifor-genie,YouTube,フォリフォリ,https://www.youtube.com/shorts/xOQnOKG_Ndg,2026-09-12 05:40 JST,Shorts公開,スケッチから小さな宇宙HTMLを作る,操作デモ動画,日本語,依頼から触れる作品まで,動画視聴・説明欄のGitHub/サイトへ,https://github.com/FORIFOR/astra（説明欄の現状）,なし,公開済み,253 views、0 likes、comments取得不可,2026-09-14 23:58 JST,YouTube公開HTML videoDetails。タイトルに「旧Astra」、説明欄に旧URLを確認。
