0.0209 0.9019 0.0582 0.0230	A Home
0.0193 0.8606 0.0622 0.0250	89= Tasks
0.0226 0.8217 0.0759 0.0200	小 Meetings
0.0192 0.7747 0.0664 0.0263	Ill Library
0.0225 0.7340 0.0630 0.0248	‡ Agents
0.0225 0.6948 0.0646 0.0202	8 Plugins
0.0194 0.0293 0.0710 0.0146	U ui-check
0.2323 0.9610 0.0355 0.0146	Home
0.2371 0.8706 0.1033 0.0345	こんばんは
0.2484 0.7951 0.1210 0.0244	何を終わらせますか？
0.2452 0.6927 0.0145 0.0244	●
0.2564 0.7019 0.0888 0.0255	録音を始める
0.2645 0.6805 0.1694 0.0195	前回の設定でその場で録り始めます
0.2339 0.6049 0.0484 0.0195	最近の会議
0.2468 0.5267 0.1033 0.0272	・ 02:59の会議
0.2500 0.4951 0.1823 0.0220	1短すぎて、拾えたものはありません
0.2532 0.4659 0.1177 0.0171	自分だけプロジェクト無し
0.9677 0.9561 0.0177 0.0195	①
0.9000 0.6976 0.0097 0.0146	く
0.8579 0.5308 0.0503 0.0189	今日・0分
0.8919 0.4707 0.0167 0.0122	...
