0.0209 0.9022 0.0581 0.0225	A Home
0.0193 0.8606 0.0622 0.0252	89= Tasks
0.0225 0.8210 0.0760 0.0213	小 Meetings
0.0193 0.7753 0.0662 0.0250	Il Library
0.0226 0.7341 0.0629 0.0244	+ Agents
0.0225 0.6949 0.0646 0.0201	8 Plugins
0.0194 0.0293 0.0097 0.0146	U
0.0419 0.0286 0.0469 0.0159	ui-check
0.2322 0.9609 0.0355 0.0148	Home
0.2371 0.8707 0.1032 0.0341	こんばんは
0.2484 0.7951 0.1210 0.0244	何を終わらせますか？
0.2452 0.6951 0.0129 0.0195	●
0.2581 0.7000 0.1113 0.0268	Start recording
0.2645 0.6805 0.1694 0.0195	前回の設定でその場で録り始めます
0.2355 0.6098 0.0839 0.0122	Recent Sessions
0.2466 0.5250 0.1052 0.0306	~ 02:43の会議
0.2500 0.5024 0.1113 0.0171	Interrupted recording
0.2516 0.4780 0.1081 0.0146	My Space No Project
0.9677 0.9561 0.0177 0.0195	①
0.9000 0.7000 0.0097 0.0122	く
0.8387 0.5317 0.0694 0.0171	Today ・ 0 min
