t	occupation	occlusion	frontmost	astraFront	windows	coverage
0.0	0.0047	0.0000	Finder	false	1	0.9318
1.5	0.0047	0.0000	Finder	false	1	0.9318
2.6	0.0000	0.0000	Finder	false	0	0.0000
3.8	0.0000	0.0000	Finder	false	0	0.0000
4.9	0.0000	0.0000	Finder	false	0	0.0000
6.0	0.0000	0.0000	Finder	false	0	0.0000
7.1	0.0000	0.0000	Finder	false	0	0.0000
8.3	0.0000	0.0000	Finder	false	0	0.0000
9.4	0.0000	0.0000	Safari	false	0	0.0000
10.6	0.0000	0.0000	Safari	false	0	0.0000
11.7	0.0000	0.0000	Safari	false	0	0.0000
12.8	0.0000	0.0000	Safari	false	0	0.0000
14.0	0.0000	0.0000	Safari	false	0	0.0000
15.1	0.0000	0.0000	Safari	false	0	0.0000
16.2	0.0000	0.0000	Safari	false	0	0.0000
17.3	0.0000	0.0000	Safari	false	0	0.0000
18.4	0.0000	0.0000	メモ	false	0	0.0000
19.6	0.0000	0.0000	メモ	false	0	0.0000
20.7	0.0000	0.0000	メモ	false	0	0.0000
21.9	0.0000	0.0000	メモ	false	0	0.0000
23.0	0.0000	0.0000	メモ	false	0	0.0000
24.1	0.0000	0.0000	メモ	false	0	0.0000
25.2	0.0000	0.0000	メモ	false	0	0.0000
26.4	0.0000	0.0000	メモ	false	0	0.0000
27.5	0.0000	0.0000	メール	false	0	0.0000
28.7	0.0000	0.0000	メール	false	0	0.0000
29.8	0.0000	0.0000	メール	false	0	0.0000
30.9	0.0000	0.0000	メール	false	0	0.0000
32.0	0.0000	0.0000	メール	false	0	0.0000
33.2	0.0000	0.0000	メール	false	0	0.0000
34.3	0.0000	0.0000	メール	false	0	0.0000
35.4	0.0000	0.0000	メール	false	0	0.0000
36.6	0.0000	0.0000	Finder	false	0	0.0000
37.8	0.0000	0.0000	Finder	false	0	0.0000
38.9	0.0000	0.0000	Finder	false	0	0.0000
